=== Группа: Справочники ===
  [ГруппыПлательщиковЕдиногоНалога]  | ПеречислениеСсылка.ГруппыПлательщиковЕдиногоНалога -> ПеречислениеСсылка.ГруппыПлательщиковЕдиногоНалога | св-в:0 | код:-
  [ВариантыСжатияTIFF]  | ПеречислениеСсылка.ВариантыСжатияTIFF -> ПеречислениеСсылка.ВариантыСжатияTIFF | св-в:0 | код:-
  [КлассыСчетовРасходов]  | ПеречислениеСсылка.КлассыСчетовРасходов -> ПеречислениеСсылка.КлассыСчетовРасходов | св-в:0 | код:-
  [ВидыНазначенияДатЗапрета]  | ПеречислениеСсылка.ВидыНазначенияДатЗапрета -> ПеречислениеСсылка.ВидыНазначенияДатЗапрета | св-в:0 | код:-
  [ПараметрыЗаконодательныхИзменений]  | ПеречислениеСсылка.ПараметрыЗаконодательныхИзменений -> ПеречислениеСсылка.ПараметрыЗаконодательныхИзменений | св-в:0 | код:-
  [ПериодОчисткиФайлов]  | ПеречислениеСсылка.ПериодОчисткиФайлов -> ПеречислениеСсылка.ПериодОчисткиФайлов | св-в:0 | код:-
  [ВидыКадровыхСобытий]  | ПеречислениеСсылка.ВидыКадровыхСобытий -> ПеречислениеСсылка.ВидыКадровыхСобытий | св-в:0 | код:-
  [ВидыСтоимости]  | ПеречислениеСсылка.ВидыСтоимости -> ПеречислениеСсылка.ВидыСтоимости | св-в:0 | код:-
  [ВидыИспользованияАмортизации]  | ПеречислениеСсылка.ВидыИспользованияАмортизации -> ПеречислениеСсылка.ВидыИспользованияАмортизации | св-в:0 | код:-
  [ГруппыНачисленияУдержанияВыплаты]  | ПеречислениеСсылка.ГруппыНачисленияУдержанияВыплаты -> ПеречислениеСсылка.ГруппыНачисленияУдержанияВыплаты | св-в:0 | код:-
  [ТипНалоговойДеятельности]  | ПеречислениеСсылка.ТипНалоговойДеятельности -> ПеречислениеСсылка.ТипНалоговойДеятельности | св-в:0 | код:-
  [СостоянияИнтеграцииОбъектов]  | ПеречислениеСсылка.СостоянияИнтеграцииОбъектов -> ПеречислениеСсылка.СостоянияИнтеграцииОбъектов | св-в:0 | код:-
  [ФорматыХраненияОдностраничныхФайлов]  | ПеречислениеСсылка.ФорматыХраненияОдностраничныхФайлов -> ПеречислениеСсылка.ФорматыХраненияОдностраничныхФайлов | св-в:0 | код:-
  [МоментыОпределенияНалоговойБазы]  | ПеречислениеСсылка.МоментыОпределенияНалоговойБазы -> ПеречислениеСсылка.МоментыОпределенияНалоговойБазы | св-в:0 | код:-
  [СпособыРасчетаКомиссионногоВознаграждения]  | ПеречислениеСсылка.СпособыРасчетаКомиссионногоВознаграждения -> ПеречислениеСсылка.СпособыРасчетаКомиссионногоВознаграждения | св-в:0 | код:-
  [ПорядокРасчетов]  | ПеречислениеСсылка.ВедениеВзаиморасчетовПоДоговорам -> ПеречислениеСсылка.ПорядокРасчетов | св-в:0 | код:-
  [ТипыДоговоров]  | ПеречислениеСсылка.ВидыДоговоровКонтрагентов -> ПеречислениеСсылка.ТипыДоговоров | св-в:0 | код:-
  [ВидыОперацийПоступлениеДенежныхСредств]  | ПеречислениеСсылка.ВидыОперацийПоступлениеДенежныхСредств -> ПеречислениеСсылка.ХозяйственныеОперации | св-в:0 | код:-
  [ВидыОперацийСписаниеДенежныхСредств]  | ПеречислениеСсылка.ВидыОперацийСписаниеДенежныхСредств -> ПеречислениеСсылка.ХозяйственныеОперации | св-в:0 | код:-
